Datetime,USDJPY_H,USDJPY_L,USDJPY_O,USDJPY_C,USDGBP_H,USDGBP_L,USDGBP_O,USDGBP_C,USDEUR_H,USDEUR_L,USDEUR_O,USDEUR_C,USDNOK_H,USDNOK_L,USDNOK_O,USDNOK_C,USDSEK_H,USDSEK_L,USDSEK_O,USDSEK_C,USDCHF_H,USDCHF_L,USDCHF_O,USDCHF_C,USDAUD_H,USDAUD_L,USDAUD_O,USDAUD_C,USDCAD_H,USDCAD_L,USDCAD_O,USDCAD_C
4/5/18 23:00,107.44,107.16,107.41,107.16,0.7142,0.714,0.7141,0.7141,0.8171,0.8166,0.817,0.8167,7.8337,7.8273,7.8324,7.8337,8.4199,8.4142,8.4186,8.4198,0.9637,0.9627,0.9634,0.9627,1.3046,1.301,1.3015,1.3043,1.2771,1.2749,1.2752,1.277
4/6/18,107.11,107,107.16,107.11,0.7143,0.7138,0.7141,0.714,0.8169,0.816,0.8167,0.8164,7.8404,7.833,7.8337,7.8383,8.4318,8.4189,8.4198,8.4266,0.963,0.9619,0.9627,0.9624,1.3058,1.3036,1.3044,1.3042,1.2782,1.2769,1.277,1.277
4/6/18 1:00,107.16,107.07,107.11,107.16,0.714,0.7137,0.714,0.7139,0.8165,0.8161,0.8164,0.8164,7.8404,7.8366,7.8383,7.8376,8.4293,8.425,8.4266,8.4255,0.9626,0.962,0.9623,0.9622,1.304,1.3021,1.304,1.3023,1.2771,1.2759,1.277,1.2766
4/6/18 2:00,107.14,107,107.16,107.14,0.714,0.7132,0.7139,0.7134,0.8164,0.8157,0.8164,0.8158,7.8382,7.831,7.8376,7.8323,8.4261,8.4179,8.4255,8.4192,0.9622,0.9614,0.9622,0.9619,1.3026,1.3007,1.3024,1.3011,1.2767,1.2753,1.2766,1.2756
4/6/18 3:00,107.22,107.13,107.14,107.22,0.7136,0.7133,0.7134,0.7136,0.816,0.8157,0.8158,0.816,7.8353,7.8309,7.8323,7.8338,8.4226,8.418,8.4192,8.4212,0.9622,0.9619,0.9619,0.962,1.3015,1.3004,1.301,1.3007,1.276,1.2753,1.2756,1.2756
4/6/18 4:00,107.23,107.18,107.22,107.23,0.7142,0.7135,0.7136,0.7142,0.8169,0.8159,0.816,0.8168,7.8445,7.833,7.8338,7.8443,8.4304,8.4209,8.4212,8.4302,0.9628,0.962,0.962,0.9626,1.3023,1.3,1.3006,1.3023,1.2766,1.2753,1.2756,1.2764
4/6/18 5:00,107.35,107.23,107.23,107.35,0.7146,0.7142,0.7142,0.7144,0.8174,0.8168,0.8169,0.8171,7.8498,7.8442,7.8443,7.8471,8.4362,8.4299,8.4301,8.432,0.9634,0.9626,0.9626,0.9629,1.3026,1.3015,1.3023,1.3025,1.2766,1.276,1.2764,1.2765
4/6/18 6:00,107.29,107.27,107.35,107.29,0.7148,0.7144,0.7144,0.7147,0.8173,0.8168,0.8171,0.8171,7.8492,7.8434,7.8471,7.8492,8.4353,8.4299,8.432,8.4348,0.9632,0.962,0.9629,0.9626,1.3033,1.3022,1.3026,1.3026,1.2773,1.2765,1.2765,1.2772
4/6/18 7:00,107.42,107.28,107.29,107.42,0.715,0.7142,0.7147,0.7145,0.8178,0.8171,0.8172,0.8173,7.8571,7.8479,7.8492,7.8515,8.4427,8.4338,8.4348,8.4383,0.9636,0.9626,0.9626,0.9633,1.3042,1.3026,1.3026,1.3039,1.2788,1.2771,1.2772,1.2786
4/6/18 8:00,107.4,107.35,107.42,107.4,0.7151,0.7143,0.7145,0.7144,0.8185,0.8174,0.8174,0.8178,7.8676,7.8509,7.8515,7.8516,8.4524,8.432,8.4383,8.4327,0.9644,0.9632,0.9633,0.9634,1.3043,1.3021,1.3039,1.3021,1.2791,1.278,1.2786,1.2781
